,state,state_short,state_total_confirmed,state_total_population,state_total_deceased,state_total_recovered,state_total_tested,state_total_vaccinated_1, state_total_vaccinated_2,state_delta_confirmed,state_delta_recovered,state_delta_deceased,state_delta_tested,state_delta_vaccinated_1,state_delta_vaccinated_2,state_delta7_confirmed,state_delta7_recovered,state_delta7_deceased,state_delta7_tested,state_delta7_vaccinated_1,state_delta7_vaccinated_2
0,Andaman and Nicobar Islands,AN,7651,397000,129,7518,598033,294001,200157,0,0,0,1376,3,13,3,5,0,8936,884,10640
1,Andhra Pradesh,AP,2066450,52221000,14373,2047722,29518787,32976969,20375181,385,675,4,39848,20497,24137,2873,3590,30,254532,1223010,1887005
2,Arunachal Pradesh,AR,55155,1504000,280,54774,1185436,771875,534486,1,9,0,334,42,195,66,97,0,4788,3312,23647
3,Assam,AS,610645,34293000,5997,600974,24712042,20172463,8068795,212,236,1,15060,19124,37463,2056,2215,24,269097,274869,849889
4,Bihar,BR,726098,119520000,9661,716390,50531824,49874828,18346781,8,9,0,226443,114694,145827,40,31,0,1378539,1286708,2144970
5,Chandigarh,CH,65351,1179000,820,64495,792851,926035,546981,5,3,0,1403,211,1282,28,20,0,10726,3680,21641
6,Chhattisgarh,CT,1006052,28724000,13577,992159,13709510,14851682,7343273,32,32,1,11869,21312,39393,205,103,5,147451,379374,604260
7,Delhi,DL,1439870,19814000,25091,1414431,29427753,13055636,7425404,45,46,0,56751,12482,11839,267,239,0,395086,160323,269146
8,Dadra and Nagar Haveli and Daman and Diu,DN,10681,959000,4,10644,72410,660753,370255,0,1,0,0,3,20,0,2,0,0,2802,14244
9,Goa,GA,178108,1540000,3364,174392,1468399,1262568,911114,23,53,0,2361,2572,12404,222,409,6,19026,8418,46494
10,Gujarat,GJ,826577,67936000,10089,816283,30928063,44735217,25972387,20,23,0,34282,14685,62096,159,116,2,328489,335172,1660382
11,Himachal Pradesh,HP,224106,7300000,3738,218410,3685011,5713695,3443823,85,198,1,3613,371,8192,1537,1154,20,64352,13244,234011
12,Haryana,HR,771252,28672000,10049,761068,13032504,17772376,8115463,11,10,0,20588,7867,15801,95,87,0,148110,160777,368141
13,Jharkhand,JH,348764,37403000,5138,343518,15985878,14986646,5585648,10,8,0,31238,41034,51488,137,250,3,464579,299587,428313
14,Jammu and Kashmir,JK,332249,13203000,4432,326915,16202346,9511073,5149471,95,79,0,38915,1584,45202,611,572,3,254608,33383,414843
15,Karnataka,KA,2988333,65798000,38082,2941578,50873103,42497761,22858384,292,345,11,106939,17604,28163,2347,2339,75,724215,623591,1373861
16,Kerala,KL,4968657,35125000,31681,4857181,37886378,25306499,13658343,7167,6439,167,65158,2010,11914,53326,48406,3089,506604,109805,792534
17,Ladakh,LA,20962,293000,208,20687,555568,208798,152280,11,9,0,388,0,2,58,28,0,2475,525,1532
18,Lakshadweep,LD,10365,68000,51,10270,263541,55129,45951,0,0,0,31,0,4,0,0,0,1625,69,796
19,Maharashtra,MH,6611078,122153000,140216,6450585,62667211,67198794,30975692,1172,1399,20,108040,53161,31988,8117,15146,200,773516,1611778,1282938
20,Meghalaya,ML,83627,3224000,1450,81746,1151665,1103275,641819,22,51,1,1559,38,203,256,460,4,13944,7871,41927
21,Manipur,MN,123731,3103000,1921,121102,1367673,1249436,719413,63,62,1,1689,705,4283,439,652,10,12787,7665,71276
22,Madhya Pradesh,MP,792854,82232000,10524,782215,20294225,49911938,20838045,16,8,0,55368,5713,77062,105,74,1,393209,148817,2034460
23,Mizoram,MZ,121359,1192000,432,114612,1298444,711597,512029,579,610,2,5945,10,51,4098,5685,21,42841,4302,11262
24,Nagaland,NL,31842,2150000,685,29904,395416,709553,490663,11,21,1,468,193,822,130,144,6,4606,4706,23628
25,Odisha,OR,1041457,43671000,8386,1029147,21994343,25736641,11560912,488,450,4,69675,21420,25651,3046,3230,24,473919,731837,917236
26,Punjab,PB,602401,29859000,16559,585591,15429415,15942714,6238973,26,25,1,34152,3321,4418,192,162,8,221114,200182,223256
27,Puducherry,PY,128013,1504000,1857,125726,1919060,733922,404355,38,45,0,2662,171,532,278,315,0,21095,8324,20073
28,Rajasthan,RJ,954429,77264000,8954,945443,14807752,42544909,20097635,2,2,0,13454,9399,29672,27,26,0,95132,271500,864947
29,Sikkim,SK,31979,664000,396,31063,261343,521763,451509,21,8,1,389,0,0,79,76,2,2847,782,14044
30,Telangana,TG,671463,37220000,3956,663498,27569831,22498559,9772398,121,183,1,25021,38781,26738,1189,1121,9,261086,1072389,961422
31,Tamil Nadu,TN,2702623,75695000,36116,2655015,51159242,41279432,17619141,1009,1183,19,123701,77325,106584,7407,8852,97,858304,788134,1578082
32,Tripura,TR,84468,3992000,813,83466,1983127,2508477,1621329,12,2,0,3501,3,650,87,62,0,22126,4155,74642
33,Uttar Pradesh,UP,1710158,224979000,22900,1687151,83635222,98178865,32681895,6,6,0,161458,53401,57556,63,58,1,1140736,2266921,3130828
34,Uttarakhand,UT,343896,11141000,7400,330195,7781148,7478017,3898342,5,9,0,9524,1065,12934,75,74,1,83377,25250,258381
35,West Bengal,WB,1592908,96906000,19141,1565471,19228303,56192166,21559747,914,913,15,47417,209609,58881,6453,5953,86,300114,3809597,1871612
